Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-05-31T04:49:30.191Z","","","Included","composer-2.5","No","0","14849","6462","581","21892","Included"
"2026-05-31T04:49:23.815Z","","","Included","composer-2.5","No","0","16935","49998","1702","68635","Included"
"2026-05-31T04:49:18.019Z","","","Included","composer-2.5","No","0","20820","72251","1540","94611","Included"
"2026-05-31T04:49:13.857Z","","","Included","composer-2.5","No","0","17035","49888","1189","68112","Included"
"2026-05-31T04:48:46.307Z","","","Included","composer-2.5","No","0","23239","232128","3578","258945","Included"
"2026-05-31T04:48:37.347Z","","","Included","composer-2.5","No","0","21134","208756","3099","232989","Included"
"2026-05-31T04:48:36.246Z","","","Included","composer-2.5","No","0","26393","308869","3575","338837","Included"
"2026-05-31T04:48:24.831Z","","","Included","composer-2.5","No","0","44109","381472","4929","430510","Included"
"2026-05-31T04:48:20.682Z","","","Included","composer-2.5","No","0","24068","291118","4677","319863","Included"
"2026-05-31T04:48:17.357Z","","","Included","composer-2.5","No","0","28556","351590","4775","384921","Included"
"2026-05-31T04:47:57.423Z","","","Included","composer-2.5","No","0","30073","290844","4872","325789","Included"
"2026-05-31T04:47:45.929Z","","","Included","composer-2.5","No","0","46531","610279","8311","665121","Included"
"2026-05-31T04:47:29.471Z","","","Included","composer-2.5","No","0","46789","886947","9708","943444","Included"
"2026-05-31T04:47:28.705Z","","","Included","composer-2.5","No","0","32437","672945","10016","715398","Included"
"2026-05-31T04:47:00.403Z","","","Included","composer-2.5","No","0","43441","797014","5933","846388","Included"
"2026-05-31T04:46:52.244Z","","","Included","composer-2.5","No","0","43864","750660","11446","805970","Included"
"2026-05-31T04:46:51.210Z","","","Included","composer-2.5","No","0","29317","361897","5265","396479","Included"
"2026-05-31T04:46:44.435Z","","","Included","composer-2.5","No","0","17654","192510","2734","212898","Included"
"2026-05-31T04:46:41.615Z","","","Included","composer-2.5","No","0","114238","1156440","14685","1285363","Included"
"2026-05-31T04:46:33.799Z","","","Included","composer-2.5","No","0","43124","665060","8777","716961","Included"
"2026-05-31T04:46:20.630Z","","","Included","composer-2.5","No","0","62534","1339545","13302","1415381","Included"
"2026-05-31T04:46:13.706Z","","","Included","composer-2.5","No","0","26022","344673","4558","375253","Included"
"2026-05-31T04:46:12.228Z","","","Included","composer-2.5","No","0","20985","186601","2841","210427","Included"
"2026-05-31T04:46:07.452Z","","","Included","composer-2.5","No","0","63743","1246177","13292","1323212","Included"
"2026-05-31T04:45:53.887Z","","","Included","composer-2.5","No","0","29980","789656","7159","826795","Included"
"2026-05-31T04:45:27.628Z","","","Included","composer-2.5","No","0","34418","536308","6087","576813","Included"
"2026-05-31T04:45:26.882Z","","","Included","composer-2.5","No","0","106170","1134424","14018","1254612","Included"
"2026-05-31T04:45:18.185Z","","","Included","composer-2.5","No","0","39539","688797","10817","739153","Included"
"2026-05-31T04:45:13.590Z","","","Included","composer-2.5","No","0","69977","1794063","22226","1886266","Included"
"2026-05-31T04:44:50.168Z","","","Included","composer-2.5","No","0","25940","243259","3784","272983","Included"
"2026-05-31T04:44:36.510Z","","","Included","composer-2.5","No","0","48596","1255840","14346","1318782","Included"
"2026-05-31T04:44:36.242Z","","","Included","composer-2.5","No","0","54225","1183407","13397","1251029","Included"
"2026-05-31T04:44:21.014Z","","","Included","composer-2.5","No","0","49911","887417","10149","947477","Included"
"2026-05-31T04:43:14.314Z","","","Included","composer-2.5","No","0","40610","1229769","14403","1284782","Included"
"2026-05-31T04:43:13.811Z","","","Included","composer-2.5","No","0","18032","239603","2727","260362","Included"
"2026-05-31T04:43:05.618Z","","","Included","composer-2.5","No","0","50117","1215177","13489","1278783","Included"
"2026-05-31T04:42:58.498Z","","","Included","composer-2.5","No","0","42288","641554","10313","694155","Included"
"2026-05-31T04:42:55.326Z","","","Included","composer-2.5","No","0","52089","1122128","13075","1187292","Included"
"2026-05-31T04:42:49.920Z","","","Included","composer-2.5","No","0","60788","1259260","13556","1333604","Included"
"2026-05-31T04:42:44.626Z","","","Included","composer-2.5","No","0","43271","977148","11049","1031468","Included"
"2026-05-31T04:42:42.586Z","","","Included","composer-2.5","No","0","47446","1254498","16847","1318791","Included"
"2026-05-31T04:42:39.361Z","","","Included","composer-2.5","No","0","70500","1524953","15317","1610770","Included"
"2026-05-31T04:42:36.460Z","","","Included","composer-2.5","No","0","43500","612655","10499","666654","Included"
"2026-05-31T04:42:12.849Z","","","Included","composer-2.5","No","0","23032","327842","3300","354174","Included"
"2026-05-31T04:42:11.039Z","","","Included","composer-2.5","No","0","31099","295634","4078","330811","Included"
"2026-05-31T04:42:08.954Z","","","Included","composer-2.5","No","0","63309","1760384","21697","1845390","Included"
"2026-05-31T04:42:03.933Z","","","Included","composer-2.5","No","0","46103","988368","14845","1049316","Included"
"2026-05-31T04:41:55.860Z","","","Included","composer-2.5","No","0","27552","347282","5095","379929","Included"
"2026-05-31T04:41:53.813Z","","","Included","composer-2.5","No","0","79938","2141463","20650","2242051","Included"
"2026-05-31T04:41:52.177Z","","","Included","composer-2.5","No","0","24534","333566","4920","363020","Included"
"2026-05-31T04:41:37.519Z","","","Included","composer-2.5","No","0","40660","882393","10999","934052","Included"
"2026-05-31T04:41:29.034Z","","","Included","composer-2.5","No","0","62386","1641929","12415","1716730","Included"
"2026-05-31T04:41:09.184Z","","","Included","composer-2.5","No","0","29045","407050","3274","439369","Included"
"2026-05-31T04:41:05.403Z","","","Included","composer-2.5","No","0","24304","246889","3041","274234","Included"
"2026-05-31T04:41:00.238Z","","","Included","composer-2.5","No","0","27834","275260","3237","306331","Included"
"2026-05-31T04:40:49.807Z","","","Included","composer-2.5","No","0","27177","301323","4944","333444","Included"
"2026-05-31T04:40:03.328Z","","","Included","composer-2.5","No","0","32926","486239","6505","525670","Included"
"2026-05-31T04:40:01.242Z","","","Included","composer-2.5","No","0","50556","1052615","12106","1115277","Included"
"2026-05-31T04:39:52.109Z","","","Included","composer-2.5","No","0","48403","895697","11106","955206","Included"
"2026-05-31T04:39:47.982Z","","","Included","composer-2.5","No","0","103422","886397","12932","1002751","Included"
"2026-05-31T04:39:44.424Z","","","Included","composer-2.5","No","0","24551","369842","4295","398688","Included"
"2026-05-31T04:39:34.708Z","","","Included","composer-2.5","No","0","34313","651552","9756","695621","Included"
"2026-05-31T04:39:15.072Z","","","Included","composer-2.5","No","0","76859","993112","8836","1078807","Included"
"2026-05-31T04:39:13.901Z","","","Included","composer-2.5","No","0","43782","635378","11294","690454","Included"
"2026-05-31T04:39:05.124Z","","","Included","composer-2.5","No","0","34911","479729","9379","524019","Included"
"2026-05-31T04:39:02.870Z","","","Included","composer-2.5","No","0","34761","622132","9336","666229","Included"
"2026-05-31T04:38:59.899Z","","","Included","composer-2.5","No","0","61488","1192526","12802","1266816","Included"
"2026-05-31T04:38:59.691Z","","","Included","composer-2.5","No","0","22141","216672","3015","241828","Included"
"2026-05-31T04:38:56.039Z","","","Included","composer-2.5","No","0","42423","544912","10159","597494","Included"
"2026-05-31T04:38:53.402Z","","","Included","composer-2.5","No","0","56122","853420","11252","920794","Included"
"2026-05-31T04:38:53.218Z","","","Included","composer-2.5","No","0","40867","613120","8781","662768","Included"
"2026-05-31T04:38:39.514Z","","","Included","composer-2.5","No","0","34296","495682","9112","539090","Included"
"2026-05-31T04:38:32.049Z","","","Included","composer-2.5","No","0","66271","2230509","18245","2315025","Included"
"2026-05-31T04:37:54.643Z","","","Included","composer-2.5","No","0","23053","247933","3604","274590","Included"
"2026-05-31T04:37:34.397Z","","","Included","composer-2.5","No","0","67184","1514751","13742","1595677","Included"
"2026-05-31T04:37:29.592Z","","","Included","composer-2.5","No","0","38642","668202","10047","716891","Included"
"2026-05-31T04:37:24.039Z","","","Included","composer-2.5","No","0","24293","277637","3909","305839","Included"
"2026-05-31T04:37:21.001Z","","","Included","composer-2.5","No","0","72838","1418696","18526","1510060","Included"
"2026-05-31T04:37:17.984Z","","","Included","composer-2.5","No","0","19579","167613","2200","189392","Included"
"2026-05-31T04:37:07.257Z","","","Included","composer-2.5","No","0","22802","237292","3812","263906","Included"
