instance_id	stratum	experiments	reentry	score
flipt-io--flipt-6fd0f9e2587f14ac1fdd1c229f0bcae0468c8daa	UNDER	26	1	126
internetarchive--openlibrary-11838fad1028672eb975c79d8984f03348500173-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4	UNDER	18	1	118
element-hq--element-web-b007ea81b2ccd001b00f332bee65070aa7fc00f9-vnan	UNDER	17	1	117
ansible--ansible	UNDER	13	1	113
qutebrowser--qutebrowser-e34dfc68647d087ca3175d9ad3f023c30d8c9746-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	12	1	112
protonmail--webclients-da91f084c0f532d9cc8ca385a701274d598057b8	UNDER	10	1	110
ansible--ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf	UNDER	8	1	108
ansible--ansible-ecea15c508f0e081525be036cf76bbb56dbcdd9d-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	UNDER	6	1	106
element-hq--element-web-53a9b6447bd7e6110ee4a63e2ec0322c250f08d1-vnan	UNDER	6	1	106
flipt-io--flipt-cd18e54a0371fa222304742c6312e9ac37ea86c1	UNDER	4	1	104
flipt-io--flipt-3d5a345f94c2adc8a0eaa102c189c08ad4c0f8e8	UNDER	2	1	102
ansible--ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83-v0f01c69f1e2528b935359cfe578530722bca2c59	UNDER	1	1	101
ansible--ansible-942424e10b2095a173dbd78e7128f52f7995849b-v30a923fb5c164d6cd18280c02422f75e611e8fb2	UNDER	1	1	101
tutao--tutanota-51818218c6ae33de00cbea3a4d30daac8c34142e-vc4e41fd0029957297843cb9dec4a25c7c756f029	UNDER	1	1	101
NodeBB--NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11-vd59a5728dfc977f44533186ace531248c2917516	UNDER	0	1	100
NodeBB--NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed	UNDER	0	1	100
NodeBB--NodeBB-9c576a0758690f45a6ca03b5884c601e473bf2c1-vd59a5728dfc977f44533186ace531248c2917516	UNDER	0	1	100
NodeBB--NodeBB-be43cd25974681c9743d424238b7536c357dc8d3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	UNDER	0	1	100
